Generation,Average Fitness
1,14.99
2,15.28
3,15.13
4,15.28
5,15.38
6,15.57
7,15.41
8,15.56
9,15.88
10,16.1
11,16.05
12,16.1
13,15.84
14,15.66
15,15.36
16,15.27
17,15.25
18,15.5
19,15.67
20,15.23
21,15.56
22,15.84
23,15.85
24,15.58
25,15.51
26,15.02
27,15.04
28,15.23
29,15.66
30,15.98
31,16.07
32,15.97
33,16.11
34,15.67
35,16.33
36,16.27
37,16.56
38,16.37
39,16.36
40,16.71
41,17.07
42,17.12
43,17.08
44,17.14
45,17.33
46,17.77
47,18.01
48,18.29
49,18.16
50,18.45
51,18.57
52,18.36
53,18.19
54,17.83
55,17.23
56,17.22
57,17.14
58,17.03
59,17.19
60,17.62
61,17.65
62,17.58
63,17.43
64,17.27
65,17.15
66,17.37
67,17.56
68,18.52
69,18.84
70,18.82
71,18.94
72,19.55
73,20.08
74,19.95
75,19.75
76,19.86
77,19.38
78,19.29
79,19.14
80,19.23
81,18.88
82,19.13
83,18.31
84,18.02
85,17.93
86,18.15
87,18.37
88,18.39
89,18.37
90,18.26
91,18.35
92,18.75
93,18.54
94,18.81
95,18.65
96,18.34
97,18.83
98,18.77
99,18.8
100,18.59
